Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,435.250000,442.000000,406.329987,422.309998,422.309998,2812600
2020-03-12,371.000000,403.570007,366.100006,377.779999,377.779999,4419400
2020-03-13,404.000000,406.420013,363.010010,390.899994,390.899994,3314400
2020-03-16,339.000000,362.000000,321.500000,322.290009,322.290009,4179900
2020-03-17,330.019989,358.000000,307.670013,355.089996,355.089996,4240800
2020-03-18,326.339996,358.556000,305.299988,336.829987,336.829987,3522400
2020-03-19,336.160004,345.730011,316.000000,332.500000,332.500000,3247200
2020-03-20,345.000000,372.542999,342.000000,346.059998,346.059998,4295700
2020-03-23,346.540009,384.179993,335.119995,375.390015,375.390015,3650900
2020-03-24,412.760010,432.989990,406.670990,430.000000,430.000000,3504700
2020-03-25,435.940002,470.570007,432.109985,446.600006,446.600006,3563200
2020-03-26,454.399994,470.480011,435.299988,447.410004,447.410004,3093800
2020-03-27,427.609985,433.359985,412.019989,421.619995,421.619995,2569300
2020-03-30,423.489990,434.890015,412.010986,430.380005,430.380005,1598800
2020-03-31,428.079987,439.589996,414.000000,416.929993,416.929993,1950100
2020-04-01,402.989990,406.000000,381.529999,384.670013,384.670013,2272700
2020-04-02,350.000000,365.940002,334.549988,346.299988,346.299988,5205500
2020-04-03,358.029999,363.790009,345.000000,357.649994,357.649994,2615900
2020-04-06,380.000000,393.570007,369.299988,392.649994,392.649994,2766600
2020-04-07,408.989990,408.989990,374.019989,378.540009,378.540009,3214200
2020-04-08,383.000000,417.570007,381.309998,414.510010,414.510010,3353200
2020-04-09,422.510010,439.000000,413.000000,417.739990,417.739990,2935400
2020-04-13,423.700012,453.351013,417.809998,447.450012,447.450012,3120200
2020-04-14,467.029999,501.470001,461.339996,496.059998,496.059998,3746600
2020-04-15,481.119995,500.440002,477.109985,497.170013,497.170013,2684300
2020-04-16,508.500000,529.130005,502.010010,526.429993,526.429993,3704900
2020-04-17,540.500000,591.830017,539.000000,590.390015,590.390015,6141700
2020-04-20,585.000000,644.950012,584.000000,629.900024,629.900024,6830500
2020-04-21,647.000000,665.739990,556.010010,585.000000,585.000000,11050700
2020-04-22,615.989990,635.000000,603.200012,626.559998,626.559998,5031600
2020-04-23,631.299988,639.840027,610.390015,620.489990,620.489990,4383900
2020-04-24,624.000000,651.989990,605.599976,643.190002,643.190002,5451400
2020-04-27,662.599976,662.599976,623.039978,628.580017,628.580017,4030000
2020-04-28,634.000000,639.760010,610.099976,633.650024,633.650024,3685700
2020-04-29,637.000000,645.549988,621.130005,639.989990,639.989990,2403900
2020-04-30,625.000000,645.979980,623.000000,632.289978,632.289978,2446000
2020-05-01,615.000000,627.859985,595.030029,613.640015,613.640015,2521200
2020-05-04,620.640015,658.900024,617.010010,658.890015,658.890015,2759800
2020-05-05,670.000000,704.690002,662.000000,686.109985,686.109985,5143700
2020-05-06,672.880005,739.239990,669.000000,733.530029,733.530029,6925200
2020-05-07,719.940002,738.710022,715.000000,722.760010,722.760010,4603400
2020-05-08,705.549988,721.000000,703.000000,708.969971,708.969971,4084100
2020-05-11,706.960022,752.500000,703.780029,750.340027,750.340027,3673800
2020-05-12,769.000000,770.950012,733.950012,742.280029,742.280029,3696100
2020-05-13,750.000000,768.590027,717.289978,754.380005,754.380005,4369600
2020-05-14,749.890015,758.090027,733.000000,754.289978,754.289978,2847500
2020-05-15,754.299988,774.789978,751.250000,767.000000,767.000000,3023500
2020-05-18,770.000000,770.729980,733.000000,738.020020,738.020020,3675100
2020-05-19,745.419983,765.000000,713.190002,753.010010,753.010010,5264400
2020-05-20,768.000000,778.000000,751.739990,778.000000,778.000000,3239000
